SeisThick(m),Devonian(m),Wabiskaw(m)
0.723,166.965,203.778
0.745,153.277,203.37
0.787,152.421,203.366
0.833,135.518,205.863
1.362,133.516,204.199
1.26,134.328,214.925
1.64,130.213,215.403
1.595,131.025,211.668
1.436,144.295,218.525
1.244,139.518,216.01
1.139,152.693,219.29
1.066,139.322,224.781
1.196,152.937,234.741
1.11,180.954,252.018
0.788,190.505,255.195
0.741,187.358,263.214
0.654,197.144,253.863
0.707,211.322,256.947
0.656,207.075,250.465
0.64,202.588,243.238
0.561,198.123,254.159
0.575,191.69,241.024
0.464,181.095,234.14
0.385,173.828,234.328
0.466,166.031,228.198
0.616,166.046,230.223
0.65,166.931,215.684
0.861,177.692,232.612
0.649,183.687,220.68
0.648,175.897,233.53
0.514,168.944,242.475
0.585,172.658,242.525
0.586,173.62,237.316
0.705,174.432,230.948
0.878,189.23,244.661
0.706,187.877,248.808
0.574,177.338,243.005
0.475,169.525,232.882
0.32,158.668,215.694
0.39,153.287,219.478
0.497,152.468,237.615
0.458,135.772,243.859
0.599,128.633,252.243
0.681,117.812,261.702
0.862,101.769,262.022
0.832,99.209,248.789
0.886,82.822,235.841
0.863,67.911,234.772
0.706,98.744,226.135
0.556,93.284,231.884
0.42,86.045,235.288
0.415,92.98,236.635
0.461,117.472,244.353
0.735,114.879,261.586
0.966,130.276,270.774
0.808,135.998,271.972
0.789,114.508,270.527
0.952,124.957,268.161
1.065,141.33,248.215
0.93,151.069,248.886
1.039,166.787,273.853
0.992,176.016,289.851
1.384,181.162,297.992
1.16,201.369,311.599
1.333,184.822,275.808
1.44,170.473,282.121
1.361,152.016,265.807
1.244,139.006,264.859
1.236,134.268,248.776
0.844,141.387,250.931
0.8,152.426,247.205
1.121,159.712,247.609
0.905,152.384,233.633
0.884,145.048,244.511
1.006,139.609,244.043
1.226,152.409,255.298
0.851,130.455,241.329
1.104,137.157,242.064
0.894,137.514,228.802
1.03,148.393,226.032
1.112,170.065,239.786
0.907,181.592,248.785
0.868,178.47,250.245
0.879,152.667,250.33
0.821,173.971,254.299
0.808,152.559,234.863
0.905,152.054,232.338
0.93,169.072,220.153
0.959,168.328,212.773
0.875,152.356,217.78
1.108,126.358,212.505
1.128,125.671,204.013
1.059,127.864,204.471
1.157,129.201,211.454
1.369,122.145,219.573
1.227,106.921,217.963
1.183,115.271,236.602
1.159,126.628,248.047
0.986,140.638,246.992
0.87,169.033,233.886
0.81,185.405,223.454
0.823,199.726,219.655
0.795,210.002,229.053
1.042,209.426,235.176
1.07,200.4,227.784
1.052,202.779,244.073
0.968,182.939,247.258
0.844,181.347,244.204
1.104,153.724,243.905
1.048,133.937,257.312
1.01,83.92,245.954
0.817,58.983,243.993
1.082,76.072,268.775
1.013,58.302,249.088
1.274,63.218,250.08
1.001,68.129,253.502
0.935,75.979,243.014
1.069,85.884,244.283
1.142,89.339,247.076
1.104,105.699,256.105
1.181,124.883,265.848
0.889,121.653,258.425
0.85,146.426,262.155
0.836,153.106,275.585
0.745,145.519,257.895
0.883,138.181,250.169
0.974,134.52,251.623
1.104,124.055,268.28
0.958,135.736,270.391
1.12,152.814,311.072
1.581,175.695,336.1
1.957,177.28,347.57
1.697,174.651,344.066
1.564,166.958,333.5
0.627,114.936,202.528
0.532,86.004,188.321
0.552,72.906,186.895
0.704,87.348,191.852
0.741,74.389,200.748
0.786,86.558,194.701
0.671,68.148,200.753
0.656,62.625,203.309
0.509,61.093,205.457
0.329,56.919,220.782
0.307,67.798,219.296
0.24,71.811,234.939
0.198,79.403,230.82
0.262,103.572,241.864
0.276,118.126,243.686
0.277,122.123,240.356
0.3,132.108,248.706
0.263,138,250.313
0.278,130.352,246.501
0.395,140.113,261.909
0.517,139.254,268.577
0.647,159.338,269.211
0.578,128.145,262.015
0.457,126.599,262.116
0.377,129.879,250.484
0.46,125.196,267.371
0.502,137.186,289.042
0.455,140.042,269.833
0.455,140.983,264.566
0.644,168.928,271.202
0.628,148.249,264.638
0.685,134.653,270.967
0.773,152.507,269.027
0.65,163.819,273.002
0.582,152.838,257.028
0.509,129.981,245.47
0.648,150.711,269.175
0.743,143.964,262.091
0.884,150.495,268.928
0.849,140.872,268.527
0.547,138.793,263.312
0.495,139.48,255.239
0.333,134.769,244.919
0.52,151.305,254.068
0.467,165.333,246.277
0.525,145.704,250.952
0.589,133.88,248.559
0.527,140.625,257.305
0.461,125.762,269.751
0.422,144.965,261.964
0.4,138.849,261.997
0.509,132.012,243.765
0.58,140.861,248.87
0.465,143.036,241.21
0.478,135.722,246.899
0.452,130.352,235.251
0.491,148.43,220.079
0.549,134.787,215.329
0.405,136.976,200.254
0.402,123.46,187.433
0.443,137.082,188.946
0.563,155.073,193.605
0.456,142.974,198.282
0.524,152.344,204.907
0.394,138.207,188.586
0.622,172.994,202.337
0.793,174.445,203.687
0.662,163.688,203.105
0.86,151.275,203.525
0.915,135.679,210.432
1.042,129.944,203.583
1.11,135.012,204.922
1.424,122.388,204.489
1.614,127.604,216.798
1.337,125.423,217.525
1.372,129.613,213.274
1.393,150.5,241.348
1.25,165.602,243.511
1.126,169.488,241.494
0.994,174.412,256.781
0.872,192.604,263.436
0.882,202.348,278.726
0.768,205.975,269.085
0.686,205.085,255.811
0.586,202.155,235.395
0.618,202.304,245.343
0.406,190.611,240.583
0.395,173.904,232.485
0.452,175.526,234.098
0.312,153.435,230.731
0.355,145.687,224.585
0.548,148.535,218.131
0.565,153.934,219.361
0.579,170.584,222.879
0.555,171.149,220.916
0.404,158.121,214.125
0.456,158.473,210.627
0.509,162.185,229.785
0.416,137.041,215.114
0.655,152.738,225.687
0.785,167.913,226.154
0.808,168.602,232.586
0.704,179.404,240.384
0.505,171.191,234.664
0.341,166.126,214.124
0.364,144.977,218.004
0.28,137.035,206.903
0.35,136.095,234.807
0.512,118.498,239.963
0.705,103.237,244.093
0.813,100.113,242.08
0.586,87.563,243.272
0.685,78.421,241.865
0.79,67.695,238.136
0.777,80.336,241.083
0.681,85.496,247.039
0.565,86.128,239.492
0.51,89.719,236.959
0.522,115.365,248.889
0.73,138.456,257.471
0.831,115.068,256.509
0.836,108.227,262.11
0.844,107.233,258.37
1.094,124.577,257.999
1.169,135.53,257.223
1.069,146.352,254.494
1.245,169.264,273.457
1.387,173.956,294.227
1.245,180.773,284.55
1.378,176.204,289.507
1.458,185.393,290.961
1.49,177.752,269.691
1.409,160.926,267.975
1.104,155.468,260.434
1.018,152.726,242.204
1.026,141.061,246.37
1.127,130.49,236.416
1.268,155.117,257.943
1.124,151.52,255.286
0.994,144.402,243.95
1.123,152.371,241.103
0.881,139.487,240.708
1.028,130.149,242.118
1.004,131.193,236.022
0.933,148.036,234.162
0.881,158.947,239.287
0.868,153.438,238.502
1.069,181.236,243.912
0.976,160.548,240.428
0.834,172.601,241.943
0.745,166.749,252.98
0.825,151.203,233.957
0.872,153.619,231.974
0.825,153.576,214.073
0.792,150.242,214.57
0.813,124.655,200.332
1.149,114.63,214.18
1.084,126.836,216.003
1.098,125.853,215.992
1.101,120.103,215.812
1.224,116.37,221.19
1.437,130.504,229.67
1.104,134.44,240.85
1.25,118.474,235.38
1.125,145.402,235.316
1.073,158.527,217.654
1.022,192.743,234.638
0.935,204.572,227.671
0.812,210.119,231.253
0.863,208.397,230.568
0.893,212.947,240.422
0.95,200.585,239.482
1.122,197.679,250.049
0.96,183.611,244.865
0.883,145.087,237.238
0.842,140.473,247.056
0.93,114.921,247.735
1.067,67.408,265.074
1.237,71.246,271.635
1.342,66.626,277.019
1.346,71.246,273.448
1.05,61.881,258.404
1.023,74.653,254.441
0.884,86.293,262.005
0.926,93.335,253.409
0.832,107.034,237.72
1.032,128.946,250.819
0.99,133.654,262.086
0.911,153.689,257.975
1.114,169.588,262.602
1.057,159.009,270.114
0.881,143.365,260.845
1.334,129.214,267.152
1.194,116.939,262.049
1.162,130.491,270.497
1.378,151.885,297.669
1.864,161.823,318.125
2.139,170.806,352.119
1.948,170.44,356.311
1.988,155.441,342.881
0.523,107.582,212.637
0.65,95.796,213.766
0.684,85.428,204.318
0.615,79.407,192.787
0.668,100.124,203.773
0.628,92.578,200.734
0.723,99.166,201.612
0.631,64.002,192.982
0.624,81.961,207.387
0.446,77.826,218.837
0.306,76.504,213.396
0.333,86.323,219.379
0.281,100.096,226.485
0.274,115.019,235.88
0.308,140.728,239.411
0.316,148.562,234.81
0.233,138.936,234.892
0.208,134.133,234.807
0.33,145.345,243.865
0.446,130.558,258.602
0.489,139.998,264.726
0.648,133.783,272.071
0.539,135.719,262.014
0.485,131.386,265.97
0.42,125.682,257.186
0.512,136.792,265.693
0.505,133.876,269.85
0.37,135.325,267.652
0.448,136.995,261.601
0.65,149.734,269.919
0.774,139.468,284.412
0.607,150.626,292.728
0.648,152.137,269.984
0.662,158.177,268.424
0.824,150.731,272.156
0.706,143.99,272.715
0.573,136.967,271.153
0.695,137.449,268.277
0.704,124.326,266.975
0.526,133.761,265.581
0.444,116.405,248.747
0.382,125.165,249.287
0.31,130.397,254.326
0.31,124.602,238.579
0.298,135.737,218.177
0.35,133.979,233.435
0.427,115.491,248.855
0.456,124.791,255.911
0.477,141.206,272.961
0.454,137.006,275.658
0.485,131.128,264.626
0.579,136.935,265.233
0.65,115.166,254.261
0.622,119.432,248.822
0.531,130.638,240.524
0.524,127.907,231.537
0.726,128.326,217.266
0.657,141.522,207.219
0.512,138.445,213.508
0.523,146.196,186.642
0.669,141.961,178.802
0.58,158.521,184.745
0.395,169.513,192.293
0.51,169.502,204.97
0.403,168.014,205.603
0.493,152.315,205.316
0.571,166.03,203.949
0.705,175.56,217.701
0.869,154.034,219.793
0.958,168.71,217.89
0.922,130.089,217.749
1.156,125.655,207.136
1.754,130.036,214.286
1.423,124.715,208.02
1.42,140.577,216.382
1.557,143.528,226.673
1.405,144.36,229.286
1.365,144.538,222.313
1.252,151.988,237.6
1.066,152.515,243.68
0.922,173.307,261.913
0.754,186.521,269.482
0.659,190.894,261.06
0.665,195.046,254.301
0.746,198.6,257.916
0.577,194.116,257.419
0.558,187.15,248.729
0.41,175.564,246.324
0.386,145.361,235.967
0.306,142.329,217.761
0.279,149.861,217.783
0.385,157.793,220.49
0.33,150.007,217.103
0.455,171.081,219.805
0.461,153.655,209.15
0.368,151.777,212.795
0.475,153.219,223.261
0.507,152.459,220.276
0.584,144.479,215.965
0.556,145.039,209.823
0.738,154.794,232.492
0.818,161.596,233.721
0.809,169.299,231.705
0.563,169.723,220.697
0.446,145.562,217.575
0.427,153.139,218.335
0.41,140.767,230.879
0.507,125.175,238.203
0.581,103.53,237.083
0.628,80.401,246.383
0.735,68.009,251.073
0.614,88.029,229.72
0.636,76.441,238.194
0.8,84.513,235.615
0.812,98.136,249.53
0.743,111.965,244.456
0.563,97.927,232.638
0.545,101.891,235.215
0.584,112.913,242.216
0.659,125.347,232.34
0.798,101.479,256.227
1.069,114.925,274.453
0.907,127.149,270.563
1.175,121.972,261.678
1.44,133.793,262.154
1.319,119.973,249.061
1.228,156.368,253.625
1.224,163.192,273.61
1.179,166.7,274.347
1.412,166.927,292.852
1.411,181.329,287.002
1.23,187.22,294.847
1.426,170.413,286.525
1.093,152.615,262.279
0.852,144.204,255.07
0.875,135.748,242.021
1.255,136.937,247.484
1.335,135.73,255.812
1.149,153.355,268.869
0.913,148.411,251.112
0.923,137.041,237.46
0.889,152.451,242.438
0.877,144.607,235.012
0.804,150.484,219.102
1.027,153.492,217.816
1.161,164.285,234.889
0.789,161.959,237.627
0.872,162.081,225.306
1.022,171.108,235.844
0.726,169.89,240.817
0.527,149.717,232.382
0.656,155.159,221.204
0.987,169.796,228.04
1.069,162.529,214.498
0.963,152.471,215.715
0.933,130.798,209.907
0.988,126.435,214.549
0.877,129.978,209.869
1.115,133.917,224.205
1.205,128.265,217.626
1.401,125.517,238.054
1.392,112.677,236.072
1.526,150.944,241.785
1.499,139.646,233.259
1.144,153.602,215.604
1.122,175.484,221.536
0.878,186.971,221.873
0.934,192.042,222.278
1.002,205.324,232.573
0.886,211.643,231.579
0.816,205.623,227.042
0.937,193.948,234.138
1.03,198.057,246.778
1.02,187.142,250.304
0.959,161.193,257.921
0.873,142.645,248.99
0.859,109.057,249.058
1.145,90.061,268.546
1.307,68.742,275.888
1.379,87.722,287.644
1.319,71.885,287.578
1.189,86.539,265.842
0.957,88.443,277.526
0.908,71.3,258.165
0.929,106.977,248.03
0.823,111.614,243.396
0.805,117.442,240.795
0.835,125.897,249.444
0.859,142.797,247.514
0.929,147.965,254.583
1.121,152.465,265.271
0.933,125.752,251.192
0.991,114.957,254.408
1.105,100.489,247.95
1.176,124.544,268.639
1.594,150.546,294.976
2.363,163.419,327.068
2.278,154.169,335.054
1.646,148.464,344.304
1.994,151.856,352.424
0.506,130.548,206.442
0.631,112.235,219.339
0.664,118.546,233.393
0.649,109.211,221.682
0.648,105.744,214.7
0.689,122.278,200.836
0.874,125.003,201.252
0.681,108.203,200.902
0.628,101.994,200.889
0.558,86.707,217.551
0.543,107.145,217.978
0.307,111.215,219.586
0.225,121.306,227.62
0.193,128.556,227.366
0.215,149.18,233.941
0.233,158.05,225.755
0.249,152.031,218.907
0.231,148.414,223.014
0.291,152.453,243.566
0.445,145.17,249.544
0.477,141.219,265.406
0.562,126.622,255.525
0.516,135.718,247.379
0.416,130.666,236.673
0.472,128.785,247.484
0.376,130.443,247.788
0.447,143.193,246.992
0.377,144.251,251.931
0.39,143.197,257.34
0.647,145.346,273.755
0.651,143.812,271.122
0.547,152.322,282.599
0.711,162.316,280.643
0.838,170.035,271.056
0.881,150.582,269.857
0.881,144.323,274.076
0.673,129.357,271.668
0.744,105.15,283.237
0.677,114.249,275.898
0.453,116.485,268.719
0.434,103.014,265.565
0.347,109.878,263.59
0.365,124.237,264.391
0.306,124.777,240.793
0.279,113.141,232.076
0.278,107.315,234.101
0.336,87.688,234.302
0.293,100.816,241.187
0.347,116.292,263.115
0.363,121.764,269.771
0.408,111.57,263.24
0.657,113.763,264.357
0.804,113.071,261.208
0.746,112.185,239.946
0.717,125.877,219.037
0.656,126.843,213.803
0.652,130.967,206.957
0.688,139.7,209.196
0.74,138.062,200.234
0.627,141.354,179.927
0.653,164.105,180.864
0.648,163.908,191.654
0.547,168.79,188.683
0.445,173.654,188.326
0.455,174.851,196.766
0.523,155.092,202.683
0.559,169.15,203.223
0.662,155.115,209.878
0.846,155.439,218.36
0.789,152.277,206.237
0.95,135.684,215.831
1.18,132.101,205.952
1.342,133.979,207.977
1.428,142.48,214.087
1.272,145.399,211.511
1.831,165.145,228.981
1.577,152.408,230.449
1.215,144.422,217.986
1.236,147.364,240.391
0.747,152.412,239.613
0.732,164.923,248.957
0.831,174.401,249.638
0.808,187.633,259.229
0.772,179.297,262.103
0.696,185.254,257.859
0.475,179.024,261.909
0.395,181.121,256.887
0.395,164.707,247.17
0.309,151.281,231.391
0.285,146.976,217.143
0.133,142.609,209.613
0.187,155.231,217.621
0.249,154.305,212.864
0.272,152.966,213.795
0.356,155.04,215.61
0.391,147.52,214.403
0.494,147.054,215.413
0.412,143.848,206.029
0.489,124.583,205.984
0.575,137.426,210.171
0.629,139.005,213.666
0.874,158.329,237.115
0.809,161.972,234.388
0.661,152.407,227.718
0.569,157.761,223.661
0.558,147.148,237.081
0.502,127.27,246.19
0.383,115.058,248.463
0.398,107.488,234.232
0.445,101.264,237.198
0.588,71.951,232.229
0.73,68.417,242.321
0.625,61.988,220.493
0.861,71.994,242.039
0.684,80.431,236.632
0.661,119.243,236.737
0.658,112.393,228.171
0.799,115.565,235.271
0.66,91.621,233.976
0.576,106.439,221.007
0.803,106.233,240.321
1.081,112.48,256.415
1.04,130.543,265.178
1.12,125.861,261.524
1.227,138.416,258.233
1.192,144.542,242.602
1.252,134.286,243.902
1.173,155.212,255.173
1.212,169.168,264.506
1.114,163.22,275.222
1.522,180.548,288.576
1.248,192.636,299.155
1.24,188.901,282.282
1.228,162.17,255.041
1.126,136.93,262.512
0.989,125.695,263.244
0.966,133.764,247.505
0.886,141.163,240.581
0.854,158.91,243.696
0.841,156.483,250.495
0.791,152.359,251
1.024,146.093,238.441
0.924,152.454,233.993
0.933,162.331,227.876
1.113,175.49,236.113
1.152,170.415,230.12
0.929,158.753,233.364
0.853,168.261,222.8
0.806,174.766,242.406
0.859,180.7,254.412
0.662,172.779,247.595
0.565,166.393,239.824
0.704,177.298,231.55
0.87,167.66,218.689
0.896,166.032,223.917
0.814,141.319,209.984
0.885,122.44,201.859
1.113,130.207,211.106
1.149,124.697,214.545
0.892,114.969,208.058
1.104,105.256,220.22
1.344,111.778,220.566
1.423,127.192,211.321
1.461,143.915,214.927
1.105,137.96,201.168
0.961,142.04,201.185
0.91,178.364,208.531
0.96,170.043,203.837
0.803,183.546,203.525
0.864,183.509,216.488
0.929,181.393,232.232
1.068,190.834,244.903
0.876,181.097,248.819
1.079,180.716,253.464
0.957,158.663,257.38
0.937,152.489,260.63
0.856,101.585,237.48
1.014,108.09,258.14
1.406,105.741,290.056
1.405,100.088,303.086
1.804,110.004,300.402
1.342,115.59,285.348
1.399,115.054,291.201
1.118,88.026,274.51
0.879,78.825,247.951
0.948,88.878,240.834
1.025,111.946,242.162
0.994,130.689,248.746
0.881,134.506,241.971
1.149,130.044,259.565
0.971,107.934,262.225
0.927,113.969,241.059
0.868,84.647,256.248
1.232,87.607,259.271
1.401,121.043,272.327
1.57,139.085,300.118
1.9,143.331,318.589
1.985,158.495,332.406
1.807,152.265,350.108
2.335,163.154,361.587
0.557,123.063,210.473
0.467,123.797,215.084
0.512,115.12,230.628
0.577,115.265,215.571
0.513,107.327,214.524
0.741,132.362,216.036
0.709,133.648,212.908
0.777,116.632,208.261
0.737,127.486,219.986
0.587,125.435,225.333
0.569,130.393,232.901
0.381,135.087,240.392
0.329,136.028,227.024
0.219,144.399,227.188
0.15,156.672,236.657
0.135,157.622,228.32
0.209,152.915,218.024
0.122,151.713,215.635
0.242,149.268,235.136
0.366,144.802,247.48
0.448,142.743,255.651
0.417,145.061,258.202
0.658,136.816,250.413
0.515,123.449,233.696
0.514,145.381,244.364
0.478,144.513,238.653
0.375,136.801,235.11
0.461,133.925,241.642
0.502,129.891,243.767
0.65,137.147,273.392
0.56,142.784,274.392
0.662,176.609,300.492
0.636,175.255,280.182
0.675,166.398,269.884
0.597,147.637,257.85
0.826,148.408,271.974
0.798,133.7,282.459
0.739,116.836,274.227
0.683,103.125,300.496
0.516,102.435,285.238
0.407,85.826,284.131
0.354,86.899,273.822
0.337,100.122,262.568
0.263,103.644,247.368
0.282,99.404,246.24
0.152,87.861,231.576
0.302,109.274,243.715
0.246,108.803,236.945
0.317,97.746,254.418
0.328,114.973,247.308
0.529,114.497,243.679
0.558,109.637,248.744
0.642,111.034,240.397
0.622,113.611,224.121
0.609,109.962,193.56
0.647,94.05,194.809
0.67,115.959,201.168
0.746,130.9,200.868
0.79,121.727,191.108
0.617,125.761,180.391
0.557,153.684,181.194
0.515,169.265,185.563
0.453,159.229,180.406
0.432,159.823,187.594
0.523,173.095,194.136
0.563,166.251,194.796
0.568,163.886,213.387
0.796,162.663,221.724
0.89,163.546,218.447
0.936,131.52,209.097
0.918,127.239,214.278
1.205,140.112,219.83
1.445,152.202,226.971
1.312,138.535,214.078
1.232,127.425,213.036
1.64,152.845,219.543
1.515,145.546,223.872
1.25,152.142,246.815
0.9,148.283,235.368
0.791,162.194,243.614
0.756,159.207,262.082
0.817,176.145,262.134
0.807,186.851,265.172
0.746,187.013,265.536
0.644,169.345,255.417
0.456,160.185,264.295
0.292,151.027,248.798
0.309,160.372,248.427
0.275,152.381,250.325
0.226,148.462,241.511
0.21,140.838,225.764
0.142,159.547,217.725
0.152,155.412,215.256
0.186,159.183,215.641
0.294,148.558,218.001
0.31,141.949,213.905
0.385,138.144,215.609
0.366,133.074,214.559
0.456,144.018,217.145
0.543,134.95,218.755
0.652,137.504,217.911
0.834,145.593,230.732
0.849,149.731,231.474
0.705,141.079,226.889
0.561,134.4,220.934
0.562,121.964,227.321
0.51,125.744,231.621
0.445,125.967,235.392
0.41,115.647,229.193
0.378,107.148,232.013
0.457,101.838,235.144
0.613,74.75,228.288
0.518,62.083,216.657
0.617,79.587,221.534
0.578,79.243,216.12
0.625,100.315,221.013
0.711,122.684,227.471
0.729,85.373,221.149
0.552,101.452,233.209
0.651,105.272,238.883
0.804,105.772,236.359
1.001,128.898,248.859
0.88,117.638,247.229
1.335,142.481,265.705
1.159,131.428,248.849
1.55,146.478,253.259
1.52,152.447,241.221
1.582,159.768,250.955
1.017,170.523,261.625
1.108,183.718,267.894
1.453,184.531,274.834
1.128,181.666,271.113
1.1,177.379,283.568
1.118,163.208,271.085
0.858,134.913,254.891
0.743,138.087,248.856
0.886,151.13,248.762
0.879,159.094,248.357
0.797,158.529,247.776
0.886,170.378,254.567
1.003,175.696,248.212
0.992,153.865,238.806
1.035,166.334,230.384
0.871,166.255,221.439
1.066,166.749,230.519
0.993,181.456,227.646
0.914,186.284,241.956
1.254,174.123,238.165
0.949,187.376,244.893
0.8,178.427,261.349
0.568,176.134,249.45
0.618,180.898,247.249
0.584,165.139,229.511
0.651,162.993,216.564
0.746,145.167,214.568
0.823,140.939,209.845
0.881,140.986,212.375
0.97,139.051,214.152
0.924,119.734,203.501
0.893,108.77,214.037
1.178,93.039,215.626
1.005,109.268,210.127
1.537,120.998,213.219
1.47,114.82,216.481
1.328,125.989,202.695
1.073,131.817,206.525
0.832,139.156,193.819
0.869,151.682,198.051
0.859,167.447,211.978
0.751,181.616,220.435
0.876,181.052,232.167
0.878,171.577,234.016
0.86,166.215,247.223
0.799,168.211,249.084
0.943,159.183,245.901
1.128,154.55,257.174
0.957,115.674,253.369
1.084,115.027,264.496
1.429,114.874,295.756
1.453,101.801,321.267
1.94,106.364,331.146
1.589,114.945,324.203
1.384,135.843,303.311
1.076,115.092,268.561
0.88,86.456,258.37
0.808,84.947,238.029
0.858,85.684,238.128
0.996,107.196,240.53
1.104,127.284,241.848
1.342,120.59,257.738
1.223,127.33,264.625
1.188,100.655,259.163
0.987,83.067,263.173
1.192,100.083,261.81
1.16,125.005,263.314
1.584,122.355,276.393
1.447,134.546,296.563
1.648,136.443,305.135
1.838,152.307,343.758
1.863,174.422,353.498
0.524,125.45,202.617
0.436,136.991,204.081
0.365,135.653,215.672
0.592,130.508,215.677
0.63,121.458,219.782
0.621,140.849,220.342
0.66,162.075,215.515
0.652,150.901,219.898
0.738,167.117,234.178
0.868,155.573,232.412
0.709,154.731,244.139
0.559,165.096,238.626
0.418,155.041,227.807
0.303,162.707,234.82
0.233,163.391,239.567
0.133,155.254,221.612
0.157,152.726,217.552
0.23,161.572,227.396
0.232,148.83,237.974
0.382,146.165,238.869
0.386,133.682,240.653
0.475,126.816,244.572
0.476,117.486,235.032
0.558,122.98,240.472
0.476,134.393,235.378
0.365,135.365,237.254
0.463,152.405,240.359
0.457,133.941,247.524
0.545,128.9,247.621
0.581,124.862,254.442
0.648,145.536,288.312
0.587,174.427,291.93
0.571,174.385,295.2
0.514,166.421,282.259
0.651,159.145,266.516
0.672,142.325,264.896
0.651,145.205,280.198
0.589,134.455,274.21
0.672,117.404,287.027
0.464,86.608,275.066
0.524,87.538,287.266
0.416,73.612,257.335
0.363,82.382,249.534
0.317,89.998,247.45
0.279,94.756,246.854
0.288,86.032,249.069
0.272,88.012,246.102
0.368,118.756,257.727
0.377,84.989,241.676
0.446,88.108,244.726
0.419,108.872,227.503
0.476,106.948,235.359
0.558,123.549,224.486
0.514,74.721,201.739
0.587,87.831,191.876
0.667,100.356,178.408
0.599,87.957,171.292
0.818,109.229,186.178
0.809,110.371,192.699
0.688,140.404,190.489
0.865,163.345,192.714
0.623,172.62,190.309
0.416,156.298,183.859
0.453,169.738,180.84
0.52,161.848,176.751
0.557,157.238,193.605
0.858,163.159,218.958
0.915,179.82,234.759
1.008,156.924,219.851
1.19,139.564,206.852
1.056,136.997,217.252
1.016,137.196,214.405
1.091,166.828,235.495
1.467,151.013,224.899
1.461,142.619,208.637
1.623,155.133,227.598
1.246,169.645,228.842
1.066,182.754,250.419
0.863,175.644,269.644
0.7,166.663,270.293
0.705,175.019,269.013
0.694,184.227,272.171
0.787,185.561,271.632
0.707,183.21,268.711
0.561,165.279,267.485
0.417,147.849,258.248
0.365,150.313,258.023
0.339,159.324,268.807
0.307,153.526,269.043
0.273,152.235,256.642
0.245,150.642,245.486
0.203,144.005,220.495
0.139,144.847,217.914
0.079,150.964,214.263
0.202,133.874,212.985
0.279,137.462,218.857
0.352,148.512,225.54
0.314,122.243,204.152
0.392,125.24,206.059
0.355,128.393,209.793
0.523,151.809,226.078
0.867,150.603,234.307
0.812,135.896,230.204
0.651,137.483,230.617
0.814,134.182,240.59
0.674,135.074,246.992
0.505,125.586,235.228
0.538,125.127,236.143
0.563,130.228,235.555
0.39,110.604,218.327
0.508,107.505,228.689
0.609,105.428,227.665
0.626,95.698,216.66
0.512,82.852,222.596
0.49,96.524,218.408
0.677,88.127,217.893
0.697,114.291,224.668
0.656,102.004,227.61
0.578,98.738,234.416
0.689,105.716,243.768
0.939,101.357,231.781
0.926,117.495,238.378
0.994,129.712,263.063
1.236,141.219,251.629
1.281,136.68,241.063
1.421,148.426,243.132
1.43,157.927,247.396
1.575,175.757,254.705
1.248,186.28,258.298
1.129,171.098,249.303
1.026,166.09,253.609
1.07,175.626,270.45
0.899,157.697,270.418
0.881,165.972,263.256
0.873,152.74,257.452
0.649,124.696,240.806
0.747,139.973,240.857
0.741,155.203,250.74
0.917,169.228,247.132
1.017,170.424,254.268
1.316,180.867,241.397
1.189,180.816,229.16
0.861,176.948,218.393
0.782,175.715,231.516
0.845,181.422,235.854
1.072,181.533,239.56
1.114,187.103,243.995
1.165,183.438,239.242
0.916,187.072,241.366
0.694,183.602,246.761
0.479,175.801,234.16
0.522,169.161,242.36
0.549,165.079,230.893
0.544,152.427,221.135
0.521,143.477,210.294
0.681,136.744,206.901
0.783,135.647,203.314
0.809,121.7,203.373
0.682,98.458,197.476
0.664,80.101,188.773
1.033,84.976,200.762
1.22,107.698,204.117
1.475,103.221,205.873
1.252,90.766,203.365
1.154,100.484,211.634
0.877,115.186,203.348
0.801,130.236,202.876
0.858,153.315,206.583
0.781,151.51,211.914
0.833,158.096,214.267
0.874,152.181,227.536
0.821,151.083,218.214
0.698,165.269,237.941
0.723,164.302,240.374
0.993,165.943,252.428
0.973,155.38,257.774
1.01,135.032,265.208
1.222,123.937,285.475
1.465,127.686,290.753
1.842,115.167,330.012
2.013,107.237,353.035
1.645,127.287,320.099
1.426,135.622,301.67
1.145,129.772,266.495
0.828,100.367,246.221
0.964,106.023,243.484
0.861,102.308,238.68
1.179,116.345,241.896
1.254,114.556,243.825
1.109,109.038,253.672
1.234,107.975,262.17
1.235,100.654,262.063
1.22,100.089,262.145
1.359,105.985,268.353
1.284,108.865,268.228
1.211,124.403,274.426
1.604,151.771,292.69
1.714,135.711,295.591
1.759,152.921,317.727
2.102,165.949,344.004
0.394,111.044,200.495
0.474,138.267,215.099
0.496,142.193,216.66
0.695,139.944,222.022
0.663,135.675,218.259
0.63,155.026,234.931
0.648,146.116,217.923
0.797,144.188,221.165
0.571,144.224,222.137
0.634,153.265,214.984
0.788,160.745,232.489
0.519,152.728,220.856
0.422,170.921,223.854
0.311,170.586,240.33
0.283,167.595,234.953
0.294,165.956,227.669
0.245,152.327,209.369
0.306,158.574,214.281
0.35,152.032,228.568
0.279,148.402,239.004
0.38,153.574,247.366
0.553,152.336,242.446
0.523,134.61,231.783
0.436,143.181,240.642
0.475,149.153,261.519
0.393,145.896,257.206
0.343,143.731,254.848
0.394,130.936,247.298
0.537,136.822,253.8
0.651,152.35,271.082
